X: -95, Y: -673, Z: 12
X: -95, Y: -673, Z: 12
X: -5, Y: -679, Z: 25
X: -5, Y: -679, Z: 25
X: -5, Y: -679, Z: 25
X: -5, Y: -679, Z: 25
X: -5, Y: -679, Z: 25
X: 96, Y: -673, Z: 51
X: 96, Y: -673, Z: 51
X: 96, Y: -673, Z: 51
X: 96, Y: -673, Z: 51
X: 96, Y: -673, Z: 51
X: 155, Y: -673, Z: 77
X: 155, Y: -673, Z: 77
X: 155, Y: -673, Z: 77
X: 155, Y: -673, Z: 77
X: 155, Y: -673, Z: 77
X: 215, Y: -685, Z: 90
X: 215, Y: -685, Z: 90
X: 215, Y: -685, Z: 90
X: 215, Y: -685, Z: 90
X: 215, Y: -685, Z: 90
X: 250, Y: -661, Z: 129
X: 250, Y: -661, Z: 129
X: 250, Y: -661, Z: 129
X: 250, Y: -661, Z: 129
X: 250, Y: -661, Z: 129
X: 232, Y: -667, Z: 206
X: 232, Y: -667, Z: 206
X: 232, Y: -667, Z: 206
X: 232, Y: -667, Z: 206
X: 232, Y: -667, Z: 206
X: 256, Y: -655, Z: 213
X: 256, Y: -655, Z: 213
X: 256, Y: -655, Z: 213
X: 256, Y: -655, Z: 213
X: 256, Y: -655, Z: 213
X: 250, Y: -637, Z: 232
X: 250, Y: -637, Z: 232
X: 250, Y: -637, Z: 232
X: 250, Y: -637, Z: 232
X: 250, Y: -637, Z: 232
X: 334, Y: -625, Z: 264
X: 334, Y: -625, Z: 264
X: 334, Y: -625, Z: 264
X: 334, Y: -625, Z: 264
X: 334, Y: -625, Z: 264
X: 387, Y: -619, Z: 264
X: 387, Y: -619, Z: 264
X: 387, Y: -619, Z: 264
X: 387, Y: -619, Z: 264
X: 387, Y: -619, Z: 264
X: 476, Y: -607, Z: 264
X: 476, Y: -607, Z: 264
X: 476, Y: -607, Z: 264
X: 476, Y: -607, Z: 264
X: 476, Y: -607, Z: 264
X: 548, Y: -560, Z: 271
X: 548, Y: -560, Z: 271
X: 548, Y: -560, Z: 271
X: 548, Y: -560, Z: 271
X: 548, Y: -560, Z: 271
X: 619, Y: -500, Z: 284
X: 619, Y: -500, Z: 284
X: 619, Y: -500, Z: 284
X: 619, Y: -500, Z: 284
X: 619, Y: -500, Z: 284
X: 685, Y: -470, Z: 297
X: 685, Y: -470, Z: 297
X: 685, Y: -470, Z: 297
X: 685, Y: -470, Z: 297
X: 685, Y: -470, Z: 297
X: 768, Y: -429, Z: 278
X: 768, Y: -429, Z: 278
X: 768, Y: -429, Z: 278
X: 768, Y: -429, Z: 278
X: 768, Y: -429, Z: 278
X: 827, Y: -357, Z: 297
X: 827, Y: -357, Z: 297
X: 827, Y: -357, Z: 297
X: 827, Y: -357, Z: 297
X: 827, Y: -357, Z: 297
X: 857, Y: -292, Z: 342
X: 857, Y: -292, Z: 342
X: 857, Y: -292, Z: 342
X: 857, Y: -292, Z: 342
X: 857, Y: -292, Z: 342
X: 911, Y: -232, Z: 349
X: 911, Y: -232, Z: 349
X: 911, Y: -232, Z: 349
